ID,Title,Start,End,Commentaire,BackgroundColor
C_10571_66_4_417,REMA (Le Franc),2025-05-01T11:30:00,2025-05-01T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10560_76_6_418,IPOO (Bianchi-Huguenin),2025-05-01T13:10:00,2025-05-01T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10559_66_4_419,REMA (Le Franc),2025-05-02T08:50:00,2025-05-02T09:35:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10569_3_7_420,RESE (Bron),2025-05-02T09:50:00,2025-05-02T12:15:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10570_163_6_421,WEBA (GANDER),2025-05-02T13:10:00,2025-05-02T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10573_5_6_422,BDON (Girardet),2025-05-05T08:00:00,2025-05-05T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10574_5_6_423,MDLD (Girardet),2025-05-05T09:50:00,2025-05-05T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20099_66_6_424,WEBA (Le Franc),2025-05-06T08:00:00,2025-05-06T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10578_66_4_425,MATH (Le Franc),2025-05-06T09:50:00,2025-05-06T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10581_142_7_426,PRSE (Gerber),2025-05-06T13:10:00,2025-05-06T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10577_66_5_427,TKDE (Le Franc),2025-05-07T08:00:00,2025-05-07T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10583_43_4_428,COMM (Bruyndonckx),2025-05-07T10:40:00,2025-05-07T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10584_43_5_429,GEFA (Bruyndonckx),2025-05-07T13:10:00,2025-05-07T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10579_158_5_430,DROA (Barbafieri),2025-05-08T08:00:00,2025-05-08T09:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10582_66_4_431,MATH (Le Franc),2025-05-08T09:50:00,2025-05-08T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10587_66_4_432,REMA (Le Franc),2025-05-08T11:30:00,2025-05-08T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10576_76_6_433,IPOO (Bianchi-Huguenin),2025-05-08T13:10:00,2025-05-08T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20108_66_4_434,REMA (Le Franc),2025-05-09T08:50:00,2025-05-09T09:35:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2","rgb(75, 108, 166)"
C_10585_3_7_435,RESE (Bron),2025-05-09T09:50:00,2025-05-09T12:15:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10586_163_6_436,WEBA (GANDER),2025-05-09T13:10:00,2025-05-09T16:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10589_5_6_437,BDON (Girardet),2025-05-12T08:00:00,2025-05-12T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10590_5_6_438,MDLD (Girardet),2025-05-12T09:50:00,2025-05-12T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
